"id"	"exp_condition"	"workerid"	"round"	"round_step"	"total_step"	"participant_x"	"participant_y"	"participant_action"	"participant_points"	"learner_x"	"learner_y"	"learner_action"	"reaction_time"	"is_collision"	"participant_gets_goal"	"learner_gets_goal"	"computation_time"	"learner_iterations"	"date_time"
6219	"s"	"Zh1MLlISAE"	9	3	87	2	1	"right"	8	3	0	"up"	496	1	0	0	359	0	"2015-10-15T22:51:24.014Z"
6220	"f"	"cg30Fxw2CY"	5	0	43	0	1	"right"	5	4	1	"up"	529	0	0	0	167	0	"2015-10-15T22:42:38.291Z"
6221	"f"	"UzcusTNxF2"	8	1	64	1	1	"right"	8	3	1	"left"	1134	1	0	0	613	0	"2015-10-15T22:51:26.879Z"
6222	"f"	"cg30Fxw2CY"	5	1	44	1	1	"right"	5	4	2	"left"	385	0	0	0	144	0	"2015-10-15T22:42:38.985Z"
6223	"s"	"Zh1MLlISAE"	9	4	88	2	1	"wait"	8	3	0	"up"	544	1	0	0	347	0	"2015-10-15T22:51:24.879Z"
6224	"f"	"UzcusTNxF2"	8	2	65	1	1	"right"	8	3	1	"left"	1209	1	0	0	583	0	"2015-10-15T22:51:28.419Z"
6225	"s"	"Zh1MLlISAE"	9	5	89	2	1	"wait"	8	3	1	"down"	1913	1	0	0	1713	3	"2015-10-15T22:51:27.110Z"
6226	"f"	"m9ncUQfmjD"	1	0	7	0	1	"right"	1	4	1	"down"	5499	0	0	0	510	1	"2015-10-15T22:51:38.857Z"
6227	"f"	"UzcusTNxF2"	8	3	66	1	1	"down"	8	3	1	"left"	1634	0	0	0	572	0	"2015-10-15T22:51:30.392Z"
6228	"s"	"Zh1MLlISAE"	9	6	90	2	1	"right"	8	3	0	"left"	1113	0	0	0	963	1	"2015-10-15T22:51:28.539Z"
6229	"f"	"cg30Fxw2CY"	5	2	45	2	1	"wait"	5	3	2	"down"	3427	1	0	0	194	0	"2015-10-15T22:42:42.722Z"
6230	"f"	"m9ncUQfmjD"	1	1	8	1	1	"right"	1	4	0	"left"	1265	0	0	0	865	3	"2015-10-15T22:51:40.443Z"
6231	"f"	"cg30Fxw2CY"	5	3	46	2	1	"wait"	5	3	1	"wait"	758	1	0	0	148	0	"2015-10-15T22:42:43.791Z"
6232	"f"	"m9ncUQfmjD"	1	2	9	2	1	"right"	1	3	0	"up"	418	1	0	0	253	0	"2015-10-15T22:51:41.191Z"
6233	"s"	"Zh1MLlISAE"	9	7	91	3	1	"right"	8	2	0	"right"	1100	0	1	0	811	2	"2015-10-15T22:51:29.969Z"
6234	"f"	"UzcusTNxF2"	8	4	67	1	0	"right"	8	2	1	"wait"	1883	1	0	0	1705	2	"2015-10-15T22:51:32.642Z"
6235	"f"	"cg30Fxw2CY"	5	4	47	2	1	"wait"	5	3	1	"up"	676	1	0	0	139	0	"2015-10-15T22:42:44.775Z"
6236	"f"	"cg30Fxw2CY"	5	5	48	2	1	"right"	5	3	2	"down"	552	1	0	0	159	0	"2015-10-15T22:42:45.634Z"
6237	"f"	"cg30Fxw2CY"	5	6	49	2	1	"wait"	5	3	2	"down"	570	1	0	0	162	0	"2015-10-15T22:42:46.513Z"
6238	"f"	"8vfXyBuTAC"	4	0	24	0	1	"right"	0	4	1	"down"	6196	0	0	0	203	0	"2015-10-15T22:51:21.808Z"
6239	"f"	"cg30Fxw2CY"	5	7	50	2	1	"wait"	5	3	1	"up"	504	1	0	0	174	0	"2015-10-15T22:42:47.323Z"
6240	"s"	"Zh1MLlISAE"	10	0	92	0	1	"right"	9	4	1	"right"	737	0	0	0	331	0	"2015-10-15T22:51:33.272Z"
6241	"f"	"cg30Fxw2CY"	5	8	51	2	1	"right"	5	3	2	"down"	148	1	0	0	134	0	"2015-10-15T22:42:47.779Z"
6242	"f"	"UzcusTNxF2"	8	5	68	2	0	"up"	8	2	1	"left"	3530	0	0	0	597	0	"2015-10-15T22:51:36.495Z"
6243	"s"	"Zh1MLlISAE"	10	1	93	1	1	"right"	9	4	1	"left"	543	0	0	0	334	0	"2015-10-15T22:51:34.136Z"
6244	"f"	"cg30Fxw2CY"	5	9	52	2	1	"wait"	5	3	2	"down"	435	1	0	0	149	0	"2015-10-15T22:42:48.523Z"
